"STAGE 6 — COMPONENT DECOMPOSITION (house rules 4+5). Buckets 1-5 summed from data_lineitems (SUMIFS); bucket 6 = observed-minus-modelled MEMO (D39). Reconciliation: buckets must equal the stage-4 all-in total within +/-2 pct (hard stop). Real 2025 USD/MWh. Converted at annual-average market FX. Excludes VAT. E1/E2 are MODELLED, not observed.",,,,,,,,,,,,,,,,,,,
"Structural breaks: UK CfD-ILR 2016, TCR 2023, NCC 2024/2026; DE EEG-to-budget 07/2022, bundeseinheitlich 2023, subsidy 2026; CN 2021-10 market reform, 2026 136-hao — never draw a continuous line through them. CN decomposition 2022+ = Jiangsu representative (D41).",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ctry,Arch,Case,Bucket,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,,,,,,,,,,,,,,
DE,medium,E1,leg header,,,,,,,,,,,,,,,,
DE,medium,E1,1 Commodity,0,99.4940396537283,101.119206632125,90.4859015448774,70.6680170547276,52.8870455020188,46.0407987167041,39.4819641905189,49.08766938572,61.7983879405923,67.8721289692478,56.5026182743477,102.439775326169,341.614602505366,152.689669784404,100.28422
DE,medium,E1,2 Gen capital recovery,41.0646839086299,70.9817196728002,65.6654568374832,99.0633409706314,114.928021804832,94.454620437321,95.6742649203665,109.134976730687,108.862512223504,100.098164408336,105.001675055311,100.48189503565,30.8072559620611,10.8347488516255,10.3384787323113,12.357458
DE,medium,E1,3 Network,29.9556433585409,29.1104805399686,30.1121745855292,33.4265565706959,35.4569723236719,31.2861011835539,33.7612721428425,34.5155486949747,37.3460200727777,32.7232613515718,35.704543629243,39.523722036683,35.64301594437,39.0439546697501,53.0049695865395,52.2405036
DE,medium,E1,4 System services & balancing,0,0,0.992619886786458,1.17374714072919,1.19075970395441,0.984943979355067,0.986164204770694,1.08204330431911,1.16658967367298,0.955027550861114,1.02759141308522,1.09772499682253,0.838406984711349,0.781176248954224,0.88448961442384,1.4177724
DE,medium,E1,5 General taxation & levies,40.1366463300712,40.8743048677642,36.9640466469072,37.6259834010139,37.069968004655,30.8972480134336,30.4463346352398,30.4278295453247,31.0585562471377,28.8975126090817,29.0961657019988,28.8135242443813,23.7558302509781,23.4295729386417,22.7646416769475,23.1773
DE,medium,E1,TOTAL modelled (sum buckets),111.156973597242,240.460544734261,234.853504588831,261.775529627948,259.313738891841,210.509959115682,206.908834619924,214.642362465825,227.521347602812,224.472353860443,238.702104768885,226.419484587884,193.48428446829,415.704055214338,239.682249394627,189.477254
DE,medium,E1,REFERENCE — timeseries USD r84,,240.460544734261,234.853504588831,261.775529627948,259.313738891841,210.509959115683,206.908834619924,214.642362465825,227.521347602812,224.472353860443,238.702104768885,226.419484587884,193.48428446829,415.704055214337,239.682249394627,189.477254
DE,medium,E1,RECONCILIATION (total/ref - 1),n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,medium,E1,GATE +/-2 pct,n/a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,,,,,,,,,,,,,,,,,,
DE,medium,E2,leg header,,,,,,,,,,,,,,,,
DE,medium,E2,1 Commodity,0,99.4940396537283,101.119206632125,90.4859015448774,70.6680170547276,52.8870455020188,46.0407987167041,39.4819641905189,49.08766938572,61.7983879405923,67.8721289692478,56.5026182743477,102.439775326169,341.614602505366,152.689669784404,100.28422
DE,medium,E2,2 Gen capital recovery,0,8.5337573089771,8.18546273942926,11.4581214232122,23.3823795989947,19.0046711756385,19.3021593058616,26.4907652590333,25.4090806183595,27.1913259347296,27.5708169566359,26.7087314367734,13.3883079157938,10.8347488516255,10.3384787323113,12.357458
DE,medium,E2,3 Network,0,29.1104805399686,30.1121745855292,33.4265565706959,35.4569723236719,31.2861011835539,33.7612721428425,34.5155486949747,37.3460200727777,32.7232613515718,35.704543629243,39.523722036683,35.64301594437,39.0439546697501,53.0049695865395,52.2405036
DE,medium,E2,4 System services & balancing,0,0,0.564377882950339,0.737836357424761,0.761290562437061,0.626988057248214,0.633432279118526,0.729525766903762,0.806764936663454,0.620239295024193,0.690501688488897,0.763909776918109,0.563187000096359,0.509736074665083,0.62075291206896,1.1492549
DE,medium,E2,5 General taxation & levies,0,30.6457593081724,27.714019364047,28.2103104816382,27.7934345478803,23.1654000959256,22.827325041153,22.8134507371532,23.286341927732,21.6660862830042,21.8150276507181,21.6031154944459,17.8110785832943,17.5664651739962,0.555235162852379,0.5653
DE,medium,E2,TOTAL modelled (sum buckets),0,167.784036810847,167.69524120408,164.318726377848,158.062094087712,126.970206014385,122.56498748568,124.031254648584,135.935876941253,143.999300804922,153.653018894334,145.102097019168,169.845364769724,409.569507275403,217.209106178176,166.5967365
DE,medium,E2,REFERENCE — timeseries USD r85,,167.784036810847,167.69524120408,164.318726377848,158.062094087712,126.970206014385,122.56498748568,124.031254648584,135.935876941253,143.999300804922,153.653018894334,145.102097019168,169.845364769724,409.569507275403,217.209106178176,166.5967365
DE,medium,E2,RECONCILIATION (total/ref - 1),n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,medium,E2,GATE +/-2 pct,n/a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,,,,,,,,,,,,,,,,,,
CN,large,E1=E2,leg header,,,,,,,,,,,,,,,,
CN,large,E1=E2,1-4 bundled (CN catalogue),0,0,144.866233721742,146.525558827849,143.854311431501,139.02585575917,128.850631485133,120.80601338151,118.743628504298,111.189772065784,104.831088051627,105.613041514276,0,0,0,0
CN,large,E1=E2,1 Commodity,0,0,0,0,0,0,0,0,0,0,0,0,78.7220742173029,71.8443645165168,66.6572882513051,59.2091700869565
CN,large,E1=E2,2 Gen capital recovery,0,0,0,0,0,0,0,0,0,0,0,0,3.10617636563847,2.83510287027717,8.87748991349444,8.59019130434783
CN,large,E1=E2,3 Network,0,0,0,0,0,0,0,0,0,0,0,0,26.3861508112657,20.6626773664017,17.4149532219028,16.9878260869565
CN,large,E1=E2,4 System services & balancing,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81919100842785,-1.86843478465951,-0.529808695652175
CN,large,E1=E2,5 General taxation & levies,0,0,0,0,0,0,0,0,0,0,0,0,1.70022285277053,1.5518457816254,2.16196446304342,2.61328695652174
CN,large,E1=E2,TOTAL modelled (sum buckets),0,0,144.866233721742,146.525558827849,143.854311431501,139.02585575917,128.850631485133,120.80601338151,118.743628504298,111.189772065784,104.831088051627,105.613041514276,109.914624246978,98.7131815432488,93.2432610650862,86.8706657391304
